timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-16,198137.01939000,199119.89379400,195875.40160600,197201.04926400,27162.15000000,27296.89000000,26852.11000000,27033.84000000,33270.45451000,33270.45451000
2023-05-15,196353.19790600,201794.82361400,194955.47960000,198136.94644400,26917.61000000,27663.59000000,26726.00000000,27162.14000000,40430.08333000,40430.08333000
2023-05-14,195314.88454200,198413.12000000,193748.44213800,196353.27085200,26775.27000000,27200.00000000,26560.53000000,26917.62000000,21594.80360000,21594.80360000
2023-05-13,195458.87994600,197285.73957000,194707.68203800,195314.95748800,26795.01000000,27045.45000000,26692.03000000,26775.28000000,22814.90421000,22814.90421000
2023-05-12,196725.22250600,197618.88395200,188284.27611600,195458.87994600,26968.61000000,27091.12000000,25811.46000000,26795.01000000,67207.93494000,67207.93494000
2023-05-11,201321.76880400,201550.81924400,194780.77393000,196725.29545200,27598.74000000,27630.14000000,26702.05000000,26968.62000000,47635.31365000,47635.31365000
2023-05-10,201537.25128800,206666.37633200,195327.50420000,201321.84175000,27628.28000000,28331.42000000,26777.00000000,27598.75000000,71155.11355000,71155.11355000
2023-05-09,201832.82848000,202921.18280000,199529.19380000,201537.17834200,27668.80000000,27818.00000000,27353.00000000,27628.27000000,40113.31069000,40113.31069000
2023-05-08,207386.13451400,208851.76554600,198865.38520000,201832.75553400,28430.09000000,28631.01000000,27262.00000000,27668.79000000,68244.36179000,68244.36179000
2023-05-07,210436.00677400,212552.17023400,207131.84475800,207386.20746000,28848.19000000,29138.29000000,28395.23000000,28430.10000000,30003.41028000,30003.41028000
2023-05-06,215231.54976000,217524.97200000,206437.18000000,210436.07972000,29505.60000000,29820.00000000,28300.00000000,28848.20000000,49249.28459000,49249.28459000
2023-05-05,210362.84193600,216481.84420000,210084.48000000,215231.62270600,28838.16000000,29677.00000000,28800.00000000,29505.61000000,58415.83048000,58415.83048000
2023-05-04,211734.22673600,214314.10791800,209089.78834400,210362.84193600,29026.16000000,29379.83000000,28663.64000000,28838.16000000,42575.47501000,42575.47501000
2023-05-03,209135.08781000,213488.57803600,205078.12307400,211734.22673600,28669.85000000,29266.66000000,28113.69000000,29026.16000000,64615.79213000,64615.79213000
